#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,location,room
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T22:05:00Z,468,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T22:10:00Z,468,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T22:15:00Z,480,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T22:20:00Z,476,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T22:25:00Z,496,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T22:30:00Z,498,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T22:35:00Z,487,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T22:40:00Z,506,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T22:45:00Z,494,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T22:50:00Z,488,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T23:00:00Z,484,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T23:05:00Z,482,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T23:10:00Z,471,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T23:15:00Z,471,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T23:20:00Z,487,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T23:25:00Z,491,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T23:30:00Z,488,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T23:35:00Z,499,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T23:40:00Z,489,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T23:45:00Z,473,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T23:50:00Z,488,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-06T23:55:00Z,506,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T00:05:00Z,504,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T00:10:00Z,499,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T00:15:00Z,499,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T00:20:00Z,498,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T00:25:00Z,482,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T00:30:00Z,497,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T00:35:00Z,501,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T00:40:00Z,497,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T00:45:00Z,499,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T00:50:00Z,490,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T00:55:00Z,488,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T01:00:00Z,495,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T01:05:00Z,501,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T01:15:00Z,479,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T01:20:00Z,481,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T01:25:00Z,493,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T01:30:00Z,500,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T01:35:00Z,478,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T01:40:00Z,488,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2024-01-06T22:00:00Z,2024-05-31T19:00:00Z,2024-01-07T01:45:00Z,485,CO2,monitor_task,ESP32-5,urbino,Turing
